,movieID,movieName,movieRelease,movieRating
114,365851,Pinocchio,2015-12-25,5.0
115,555604,Guillermo del Toro's Pinocchio,2022-11-09,8.259
116,134434,Pinocchio,1992-05-11,6.3
117,28779,Pinocchio,1971-01-01,5.2
118,423030,Pinocchio,1984-05-14,4.8
119,378535,Pinocchio,2015-04-27,7.0
120,949893,Pinocchio,2021-12-07,0.0
121,233088,Pinocchio,1911-12-04,5.6
122,489453,Pinocchio,1968-12-08,0.0
123,489452,Pinocchio,1957-10-13,0.0
124,357233,Pinocchio,1999-10-26,0.0
125,894821,Pinocchio,2021-10-28,0.0
126,275130,VeggieTales: Sheerluck Holmes and the Golden Ruler,2006-03-11,4.7
127,104711,Tom Sawyer,2011-11-17,5.8
128,42313,Tom Sawyer,2000-04-04,6.1
129,42473,Tom Sawyer,1973-03-15,6.3
130,966576,The Quest for Tom Sawyer's Gold,2023-03-28,0.0
131,166307,Tom Sawyer,1930-12-19,5.0
132,598299,Tom Sawyer,1973-03-23,5.2
133,74609,Tom Sawyer,1917-12-10,4.9
134,30977,The Adventures of Tom Sawyer,1938-02-11,6.5
135,670250,Tom Sawyer,,0.0
136,833543,都会のトム&ソーヤ,2021-07-30,0.0
137,172390,Tom Sawyer & Huckleberry Finn,2014-10-23,5.5
138,74705,Приключения Тома Сойера и Гекльберри Финна,1984-12-06,7.2
139,67357,The Animated Adventures of Tom Sawyer,1998-07-21,6.6
140,257935,"Tom Sawyer, Detective",1938-12-24,5.0
141,88139,Rascals and Robbers: The Secret Adventures of Tom Sawyer and Huck Finn,1982-02-27,7.0
142,326893,The Adventures of Tom Sawyer,1986-01-01,8.0
143,320100,New Adventures of Tom Sawyer,,0.0
144,279685,The Modern Adventures of Tom Sawyer,1998-01-01,6.0
145,270876,Storybook Classics: The Adventures of Tom Sawyer,2009-01-01,0.0
146,102936,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990-10-21,8.0
147,17185,Advise & Consent,1962-06-06,7.2
148,478254,Aelita,1980-01-01,0.0
149,920005,Aelita,2014-01-01,0.0
150,2973,Аэлита,1924-09-24,6.053
151,74009,"Аэлита, не приставай к мужчинам",1988-06-06,3.5
152,488,The African Queen,1952-01-07,7.35
153,798573,The African Queen,1977-03-18,0.0
154,135330,Embracing Chaos: Making The African Queen,2010-01-01,6.7
155,537915,After,2019-04-11,7.156
156,1075807,After,2023-02-22,6.0
157,163733,After,2013-01-30,6.5
158,118612,After,2012-08-27,5.6
159,650657,After,2017-12-31,0.0
160,39172,After,2009-10-23,4.4
161,273488,After,2014-08-08,4.3
162,795927,After,2018-09-29,0.0
163,45746,After...,2006-06-27,3.0
164,117705,After,2009-10-01,4.3
165,1060455,After,2018-10-10,0.0
166,520185,After,2014-03-17,0.0
167,423904,After,2004-11-01,0.0
168,300504,After,2012-04-01,7.5
169,744276,After Ever Happy,2022-08-24,6.857
170,10192,Shrek Forever After,2010-05-16,6.334
171,744275,After We Fell,2021-09-01,7.131
172,613504,After We Collided,2020-09-02,7.22
173,131183,女教師 汚れた放課後,1981-01-23,5.0
174,425909,Ghostbusters: Afterlife,2021-11-11,7.521
175,25501,"After Dark, My Sweet",1990-08-24,5.955
176,6075,Carlito's Way,1993-11-10,7.826
177,12261,Carlito's Way: Rise to Power,2005-09-27,4.8
178,142652,The Making of 'Carlito's Way',2003-09-02,4.7
179,751,Murder at the Gallop,1963-06-24,6.9
180,10436,The Age of Innocence,1993-09-10,6.995
181,110540,The Age of Innocence,1934-09-14,6.2
182,278294,The Age of Innocence,1924-01-02,0.0
183,980218,The Age of Innocence,2022-05-07,0.0
184,369314,纯真年代,2011-11-05,0.0
185,898138,L'età dell'innocenza,2021-11-21,7.0
186,514579,Innocence and Experience: The Making of 'The Age of Innocence',1992-09-01,5.0
187,333167,순수의 시대,2015-03-05,7.0
188,174014,살인의 강,2010-09-30,4.0
189,36815,The Agony and the Ecstasy,1965-09-16,7.1
190,87387,The Agony and Ecstasy of Phil Spector,2008-10-25,5.6
191,1017121,綠蝴蝶,2019-10-06,0.0
192,32990,Äideistä parhain,2005-09-30,6.6
193,189633,Gribiche,1926-04-02,6.1
194,11856,Air America,1990-08-10,5.818
195,518787,Air Force One: America's Flagship,2018-01-14,0.0
196,275865,Air America: Operation Jaguar,2003-06-17,0.0
197,573283,Combat in the Air - The Air Defense of North America,1997-04-01,0.0
198,647017,Una americana en Buenos Aires,1961-07-06,0.0
